size_band,category,count
16-32,boat,74
16-32,buoy,179
16-32,jetski,1
16-32,life_saving_appliances,192
16-32,swimmer,931
32-64,boat,71
32-64,buoy,8
32-64,jetski,13
32-64,life_saving_appliances,82
32-64,swimmer,602
<16,boat,1
<16,buoy,54
<16,life_saving_appliances,4
<16,swimmer,101
>64,boat,37
>64,buoy,4
>64,jetski,15
>64,swimmer,168
