,mAP@50,mAP@50,mAP@50,mAP@50-95,mAP@50-95,mAP@50-95,AR@50-95,AR@50-95,AR@50-95
tag,baseline_a_full,baseline_b_attributed_1280,baseline_b_canonical_1280,baseline_a_full,baseline_b_attributed_1280,baseline_b_canonical_1280,baseline_a_full,baseline_b_attributed_1280,baseline_b_canonical_1280
size_band,,,,,,,,,
<16,0.5786983826327828,0.0082018633211162,0.0052606376365193,0.2235659130453497,0.0028996737715585,0.0015793632248994,0.2990139296187683,0.0590175953079179,0.0072727272727272
16-32,0.8335307440816837,0.0761043569216185,0.0328114338887021,0.4805921201185256,0.0276829800605074,0.0121434803729857,0.5423645680588219,0.2203021115875677,0.1008932666708984
32-64,0.8252083229060327,0.1840522792356193,0.1529415682327978,0.5174464582460843,0.0743313217323562,0.0591474313447786,0.5989906691124779,0.3116065725551513,0.2515789528642261
>64,0.9097742238176252,0.2661683413107996,0.3734292919168319,0.6332975059282477,0.1600289818521548,0.24317569139847,0.7155813074116757,0.4321354877122105,0.4840964150395693
all,0.8363763319794276,0.1905581023408304,0.1830008735172729,0.5225198168303696,0.1039520835504764,0.1092975253282732,0.594390100511191,0.3112886446374662,0.2619978390441946
