size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.1039520835504764,0.19055810234083048,0.10147281495576205,0.31128864463746625,9630
small,0.02559015930113498,0.07043532009528901,0.01191650013556632,0.2120567821790123,2966
medium,0.05697997167142028,0.13887382982619798,0.034648169219036636,0.28583759778364987,4796
large,0.20348039435413104,0.33280581047997143,0.22827143235909353,0.4723556590716996,1868
