size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.07660427194161032,0.13685959080090387,0.0829148265775863,0.1720891667765641,9630
<16,0.0,0.0,0.0,0.0,182
16-32,0.003189672267795842,0.009348442202483216,0.0012002592978452738,0.019706533441367302,2784
32-64,0.0211873373511706,0.056700603836706526,0.008660097430622377,0.15837210065613894,3851
>64,0.16002211347018008,0.2885492976575639,0.17419703732437636,0.36785705350991843,2813
