size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.5225198168303696,0.8363763319794276,0.5335344425127958,0.594390100511191,9630
small,0.47237420844766204,0.8263386002215772,0.48731322329930427,0.538997514593416,2966
medium,0.5283200374665987,0.829634823628432,0.5540978346613195,0.6137995009108878,4796
large,0.663083204148535,0.9002483011597381,0.7553495031304364,0.7340946251387003,1868
