size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.1039520835504764,0.19055810234083048,0.10147281495576205,0.31128864463746625,9630
<16,0.0028996737715585186,0.008201863321116281,0.002441530370340857,0.059017595307917906,182
16-32,0.027682980060507456,0.07610435692161854,0.012712581347811188,0.2203021115875677,2784
32-64,0.07433132173235622,0.18405227923561937,0.040229791648013644,0.31160657255515134,3851
>64,0.16002898185215483,0.26616834131079964,0.17645385929684662,0.4321354877122105,2813
