size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.10929752532827328,0.18300087351727293,0.11616757090795654,0.2619978390441946,9630
<16,0.001579363224899431,0.005260637636519359,7.735148514851485e-05,0.007272727272727273,182
16-32,0.012143480372985706,0.032811433888702106,0.005107905949583475,0.10089326667089842,2784
32-64,0.059147431344778664,0.15294156823279784,0.026633388140324833,0.2515789528642261,3851
>64,0.24317569139847003,0.3734292919168319,0.2790534351996228,0.4840964150395693,2813
