size_band,mAP@50-95,mAP@50,mAP@75,AR@50-95,n_gt
all,0.10929752532827328,0.18300087351727293,0.11616757090795654,0.2619978390441946,9630
small,0.011192179159424352,0.030698065828071032,0.004993772357397027,0.09315393236787854,2966
medium,0.06696086953097939,0.14208529125996375,0.0523212953995354,0.2806891076287325,4796
large,0.2785691849528226,0.42506996355108184,0.31471325262500094,0.5358638699281764,1868
