epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7633.29,1.18406,0.55778,0.89613,0.89566,0.81375,0.82719,0.50013,1.36958,0.64231,0.99199,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7868.44,1.17049,0.55278,0.8927,0.90557,0.82045,0.84026,0.50791,1.3556,0.64188,0.99108,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8103.79,1.17206,0.55323,0.89412,0.88087,0.81835,0.82892,0.50137,1.36398,0.6573,0.99539,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8338.93,1.16021,0.54794,0.89027,0.88366,0.80883,0.82103,0.49786,1.37461,0.67221,1.00109,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8574.3,1.15793,0.54378,0.88962,0.89264,0.80792,0.83394,0.50616,1.37978,0.657,1.0036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8809.45,1.14993,0.54354,0.88803,0.89272,0.81718,0.84155,0.50875,1.36395,0.63652,0.99573,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9044.87,1.13892,0.53436,0.88534,0.88082,0.81441,0.82889,0.50766,1.37744,0.63983,1.00683,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9280.03,1.13908,0.53456,0.88646,0.90007,0.79663,0.82764,0.50192,1.39599,0.63386,1.0138,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9515.6,1.13446,0.53249,0.88634,0.88982,0.80756,0.8256,0.50006,1.36509,0.62662,0.9984,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9751.41,1.12344,0.52744,0.88337,0.88139,0.81145,0.83156,0.50473,1.37372,0.62912,1.00399,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9986.77,1.11585,0.52302,0.88013,0.88432,0.80799,0.82957,0.5061,1.36661,0.62428,1.00941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10221.4,1.1124,0.52394,0.88049,0.87024,0.81726,0.83537,0.50918,1.37882,0.64634,1.00451,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10456.5,1.10743,0.51821,0.87956,0.87656,0.81888,0.83311,0.50487,1.37631,0.63899,0.99918,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10691.4,1.09904,0.51514,0.87833,0.8826,0.80886,0.83614,0.505,1.36722,0.62647,0.99623,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10926.3,1.10253,0.51457,0.87659,0.89259,0.80056,0.83145,0.50914,1.35553,0.63368,0.99458,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11161.8,1.09079,0.51151,0.87527,0.89717,0.81249,0.83056,0.50418,1.38476,0.65774,1.01019,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11397.4,1.08253,0.5079,0.87528,0.89424,0.80451,0.82183,0.50229,1.37294,0.64561,1.00487,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11632.3,1.07907,0.50546,0.87064,0.8754,0.81464,0.83112,0.51073,1.36017,0.63924,0.9953,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11868.3,1.08442,0.50538,0.87312,0.90535,0.80877,0.83141,0.51011,1.363,0.64066,0.99506,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12103.7,1.06393,0.49506,0.86959,0.90346,0.80498,0.82945,0.50877,1.37244,0.6304,1.00076,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
