bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,6932,0.07174708886324294,0.0603000577034045
0.1,0.2,5839,0.14306689844151396,0.08751498544271279
0.2,0.30000000000000004,3072,0.24553941406250002,0.12141927083333333
0.30000000000000004,0.4,2023,0.3473518240237271,0.1453287197231834
0.4,0.5,1564,0.44742792838874684,0.17902813299232737
0.5,0.6000000000000001,1334,0.5484900149925038,0.22188905547226387
0.6000000000000001,0.7000000000000001,1203,0.6495092435577722,0.23940149625935161
0.7000000000000001,0.8,1184,0.749185320945946,0.34881756756756754
0.8,0.9,1357,0.850718297715549,0.45025792188651437
0.9,1.0,2206,0.9548138213961922,0.7221214868540344
