size_band,category,count
16-32,boat,152
16-32,buoy,192
16-32,jetski,6
16-32,life_saving_appliances,231
16-32,swimmer,1596
32-64,boat,131
32-64,buoy,81
32-64,jetski,52
32-64,life_saving_appliances,93
32-64,swimmer,1950
<16,boat,1
<16,buoy,55
<16,life_saving_appliances,5
<16,swimmer,120
>64,boat,356
>64,buoy,172
>64,jetski,203
>64,swimmer,290
