fp_type,size_band,category,count
background,16-32,boat,15
background,16-32,buoy,60
background,16-32,jetski,12
background,16-32,life_saving_appliances,3
background,16-32,swimmer,142
background,32-64,boat,36
background,32-64,buoy,4
background,32-64,jetski,23
background,32-64,life_saving_appliances,4
background,32-64,swimmer,259
background,<16,buoy,2
background,<16,life_saving_appliances,1
background,<16,swimmer,34
background,>64,boat,20
background,>64,buoy,2
background,>64,jetski,25
background,>64,swimmer,18
class_confusion,16-32,boat,8
class_confusion,16-32,buoy,3
class_confusion,16-32,jetski,5
class_confusion,16-32,life_saving_appliances,7
class_confusion,16-32,swimmer,16
class_confusion,32-64,boat,3
class_confusion,32-64,buoy,3
class_confusion,32-64,jetski,3
class_confusion,32-64,life_saving_appliances,3
class_confusion,32-64,swimmer,56
class_confusion,<16,swimmer,1
class_confusion,>64,boat,30
class_confusion,>64,buoy,6
class_confusion,>64,jetski,44
class_confusion,>64,swimmer,3
duplicate,16-32,boat,3
duplicate,16-32,buoy,2
duplicate,16-32,life_saving_appliances,2
duplicate,16-32,swimmer,77
duplicate,32-64,boat,94
duplicate,32-64,buoy,2
duplicate,32-64,jetski,4
duplicate,32-64,life_saving_appliances,13
duplicate,32-64,swimmer,672
duplicate,<16,swimmer,4
duplicate,>64,boat,41
duplicate,>64,jetski,15
duplicate,>64,swimmer,105
localization,16-32,boat,27
localization,16-32,buoy,185
localization,16-32,life_saving_appliances,17
localization,16-32,swimmer,401
localization,32-64,boat,48
localization,32-64,buoy,11
localization,32-64,jetski,6
localization,32-64,life_saving_appliances,34
localization,32-64,swimmer,1585
localization,<16,swimmer,3
localization,>64,boat,45
localization,>64,buoy,3
localization,>64,jetski,24
localization,>64,swimmer,275
