bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,2105,0.07103190498812352,0.027553444180522565
0.1,0.2,1775,0.1443588338028169,0.051830985915492955
0.2,0.30000000000000004,1012,0.2468140513833992,0.116600790513834
0.30000000000000004,0.4,939,0.35077202342917996,0.2939297124600639
0.4,0.5,1099,0.45372088262056415,0.5850773430391265
0.5,0.6000000000000001,1717,0.5523179091438556,0.7676179382644147
0.6000000000000001,0.7000000000000001,2233,0.6516744021495746,0.8607254814151366
0.7000000000000001,0.8,1639,0.7443014093959732,0.9377669310555217
0.8,0.9,1639,0.8480312995729102,0.9749847467968273
0.9,1.0,75,0.9131864,1.0
