size_band,category,count
16-32,boat,62
16-32,buoy,163
16-32,life_saving_appliances,175
16-32,swimmer,778
32-64,boat,49
32-64,buoy,6
32-64,jetski,10
32-64,life_saving_appliances,78
32-64,swimmer,418
<16,boat,1
<16,buoy,52
<16,life_saving_appliances,3
<16,swimmer,90
>64,boat,29
>64,buoy,4
>64,jetski,11
>64,swimmer,122
