bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,4039,0.07094981926219361,0.05867789056697202
0.1,0.2,3320,0.1430825030120482,0.09849397590361446
0.2,0.30000000000000004,1665,0.24708518918918917,0.13933933933933934
0.30000000000000004,0.4,1137,0.3494957695690413,0.1917326297273527
0.4,0.5,937,0.44841583778014943,0.21344717182497333
0.5,0.6000000000000001,857,0.5506739789964994,0.2812135355892649
0.6000000000000001,0.7000000000000001,825,0.648698606060606,0.3284848484848485
0.7000000000000001,0.8,780,0.749928794871795,0.3769230769230769
0.8,0.9,805,0.8511503602484473,0.5614906832298137
0.9,1.0,1133,0.9498499646954988,0.7917034421888791
