bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,1917,0.07148091810119979,0.10067814293166406
0.1,0.2,1624,0.1419917118226601,0.17549261083743842
0.2,0.30000000000000004,649,0.24466767334360556,0.23882896764252695
0.30000000000000004,0.4,330,0.3450731515151515,0.36666666666666664
0.4,0.5,218,0.445038623853211,0.6192660550458715
0.5,0.6000000000000001,174,0.5505462643678161,0.7068965517241379
0.6000000000000001,0.7000000000000001,272,0.6547900367647059,0.9375
0.7000000000000001,0.8,259,0.7424775289575289,0.9845559845559846
0.8,0.9,114,0.8396171929824561,0.9035087719298246
0.9,1.0,14,0.9216449999999999,0.21428571428571427
