fp_type,size_band,category,count
background,16-32,boat,4
background,16-32,buoy,8
background,16-32,life_saving_appliances,5
background,16-32,swimmer,59
background,32-64,boat,12
background,32-64,buoy,3
background,32-64,jetski,6
background,32-64,life_saving_appliances,1
background,32-64,swimmer,31
background,<16,buoy,2
background,<16,jetski,1
background,<16,swimmer,8
background,>64,boat,15
background,>64,buoy,1
background,>64,jetski,21
background,>64,swimmer,7
class_confusion,16-32,boat,1
class_confusion,16-32,life_saving_appliances,2
class_confusion,16-32,swimmer,3
class_confusion,32-64,life_saving_appliances,6
class_confusion,32-64,swimmer,6
class_confusion,>64,boat,22
class_confusion,>64,buoy,2
class_confusion,>64,jetski,8
class_confusion,>64,swimmer,1
duplicate,16-32,buoy,1
duplicate,16-32,life_saving_appliances,2
duplicate,16-32,swimmer,2
duplicate,32-64,swimmer,7
duplicate,<16,buoy,4
duplicate,<16,swimmer,3
duplicate,>64,boat,1
duplicate,>64,swimmer,4
localization,16-32,boat,10
localization,16-32,buoy,14
localization,16-32,life_saving_appliances,2
localization,16-32,swimmer,180
localization,32-64,boat,7
localization,32-64,jetski,4
localization,32-64,life_saving_appliances,4
localization,32-64,swimmer,325
localization,<16,swimmer,6
localization,>64,boat,12
localization,>64,buoy,3
localization,>64,jetski,3
localization,>64,swimmer,97
