size_band,category,count
16-32,boat,7
16-32,buoy,32
16-32,jetski,1
16-32,life_saving_appliances,111
16-32,swimmer,458
32-64,boat,52
32-64,buoy,1
32-64,jetski,7
32-64,life_saving_appliances,59
32-64,swimmer,427
<16,boat,1
<16,buoy,5
<16,life_saving_appliances,2
<16,swimmer,31
>64,boat,30
>64,buoy,3
>64,jetski,23
>64,swimmer,163
