bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,1356,0.07053858407079645,0.04056047197640118
0.1,0.2,851,0.13854007050528788,0.09165687426556991
0.2,0.30000000000000004,420,0.24485099999999999,0.2119047619047619
0.30000000000000004,0.4,437,0.35339025171624716,0.45308924485125857
0.4,0.5,655,0.45282479389312974,0.6793893129770993
0.5,0.6000000000000001,1036,0.554899555984556,0.7876447876447876
0.6000000000000001,0.7000000000000001,1835,0.6520690245231607,0.8708446866485013
0.7000000000000001,0.8,2776,0.7521324927953891,0.922550432276657
0.8,0.9,2451,0.8529416401468789,0.9824561403508771
0.9,1.0,390,0.9106642564102564,0.9974358974358974
