fp_type,size_band,category,count
background,16-32,boat,4
background,16-32,buoy,7
background,16-32,life_saving_appliances,1
background,16-32,swimmer,37
background,32-64,boat,10
background,32-64,jetski,1
background,32-64,life_saving_appliances,1
background,32-64,swimmer,21
background,<16,buoy,2
background,<16,jetski,1
background,<16,swimmer,3
background,>64,boat,14
background,>64,buoy,1
background,>64,jetski,15
background,>64,swimmer,6
class_confusion,16-32,boat,1
class_confusion,16-32,swimmer,2
class_confusion,32-64,life_saving_appliances,2
class_confusion,32-64,swimmer,2
class_confusion,>64,boat,22
class_confusion,>64,buoy,1
class_confusion,>64,jetski,7
class_confusion,>64,swimmer,1
duplicate,16-32,swimmer,1
duplicate,32-64,swimmer,4
duplicate,<16,swimmer,1
duplicate,>64,boat,1
duplicate,>64,swimmer,1
localization,16-32,boat,6
localization,16-32,buoy,13
localization,16-32,life_saving_appliances,1
localization,16-32,swimmer,144
localization,32-64,boat,7
localization,32-64,jetski,4
localization,32-64,life_saving_appliances,1
localization,32-64,swimmer,260
localization,<16,swimmer,6
localization,>64,boat,11
localization,>64,buoy,3
localization,>64,jetski,3
localization,>64,swimmer,87
