size_band,category,count
16-32,boat,9
16-32,buoy,40
16-32,jetski,1
16-32,life_saving_appliances,118
16-32,swimmer,691
32-64,boat,55
32-64,buoy,3
32-64,jetski,7
32-64,life_saving_appliances,67
32-64,swimmer,575
<16,boat,1
<16,buoy,15
<16,life_saving_appliances,2
<16,swimmer,38
>64,boat,30
>64,buoy,3
>64,jetski,23
>64,swimmer,180
