size_band,category,count
16-32,boat,6
16-32,buoy,24
16-32,jetski,1
16-32,life_saving_appliances,102
16-32,swimmer,353
32-64,boat,42
32-64,buoy,1
32-64,jetski,7
32-64,life_saving_appliances,52
32-64,swimmer,342
<16,boat,1
<16,buoy,4
<16,life_saving_appliances,2
<16,swimmer,29
>64,boat,24
>64,buoy,3
>64,jetski,23
>64,swimmer,148
