size_band,category,count
16-32,boat,79
16-32,buoy,197
16-32,jetski,2
16-32,life_saving_appliances,200
16-32,swimmer,1185
32-64,boat,76
32-64,buoy,10
32-64,jetski,19
32-64,life_saving_appliances,83
32-64,swimmer,871
<16,boat,1
<16,buoy,55
<16,life_saving_appliances,4
<16,swimmer,107
>64,boat,49
>64,buoy,4
>64,jetski,18
>64,swimmer,220
