fp_type,size_band,category,count
background,16-32,buoy,2
background,16-32,life_saving_appliances,1
background,16-32,swimmer,10
background,32-64,boat,10
background,32-64,buoy,2
background,32-64,jetski,2
background,32-64,life_saving_appliances,1
background,32-64,swimmer,35
background,>64,boat,8
background,>64,jetski,6
background,>64,swimmer,4
class_confusion,16-32,boat,1
class_confusion,16-32,swimmer,2
class_confusion,32-64,boat,1
class_confusion,32-64,jetski,1
class_confusion,32-64,swimmer,36
class_confusion,>64,boat,21
class_confusion,>64,buoy,4
class_confusion,>64,jetski,20
duplicate,32-64,boat,7
duplicate,32-64,life_saving_appliances,1
duplicate,32-64,swimmer,2
duplicate,>64,boat,2
duplicate,>64,jetski,2
duplicate,>64,swimmer,4
localization,16-32,buoy,9
localization,16-32,life_saving_appliances,1
localization,16-32,swimmer,76
localization,32-64,boat,3
localization,32-64,jetski,4
localization,32-64,life_saving_appliances,2
localization,32-64,swimmer,435
localization,>64,boat,14
localization,>64,buoy,3
localization,>64,jetski,6
localization,>64,swimmer,115
