bin_low,bin_high,n,mean_conf,accuracy
0.0,0.1,2717,0.0708273831431726,0.07802723592197276
0.1,0.2,1893,0.14006670364500792,0.10670892762810354
0.2,0.30000000000000004,824,0.24480075242718446,0.19902912621359223
0.30000000000000004,0.4,441,0.3460663492063492,0.3242630385487528
0.4,0.5,291,0.4493915120274914,0.47766323024054985
0.5,0.6000000000000001,213,0.5463947887323944,0.6901408450704225
0.6000000000000001,0.7000000000000001,208,0.6509990865384616,0.7211538461538461
0.7000000000000001,0.8,311,0.7556293569131833,0.8585209003215434
0.8,0.9,567,0.8499107760141094,0.9029982363315696
0.9,1.0,47,0.9209661702127659,0.8297872340425532
