fp_type,size_band,category,count
background,16-32,boat,5
background,16-32,buoy,19
background,16-32,jetski,4
background,16-32,life_saving_appliances,2
background,16-32,swimmer,60
background,32-64,boat,18
background,32-64,buoy,2
background,32-64,jetski,11
background,32-64,life_saving_appliances,2
background,32-64,swimmer,112
background,<16,swimmer,9
background,>64,boat,11
background,>64,jetski,14
background,>64,swimmer,8
class_confusion,16-32,boat,5
class_confusion,16-32,buoy,1
class_confusion,16-32,jetski,2
class_confusion,16-32,life_saving_appliances,6
class_confusion,16-32,swimmer,8
class_confusion,32-64,boat,2
class_confusion,32-64,jetski,3
class_confusion,32-64,life_saving_appliances,2
class_confusion,32-64,swimmer,46
class_confusion,<16,swimmer,1
class_confusion,>64,boat,26
class_confusion,>64,buoy,6
class_confusion,>64,jetski,28
class_confusion,>64,swimmer,1
duplicate,16-32,boat,2
duplicate,16-32,swimmer,40
duplicate,32-64,boat,47
duplicate,32-64,buoy,2
duplicate,32-64,jetski,2
duplicate,32-64,life_saving_appliances,8
duplicate,32-64,swimmer,194
duplicate,<16,swimmer,4
duplicate,>64,boat,19
duplicate,>64,jetski,8
duplicate,>64,swimmer,38
localization,16-32,boat,13
localization,16-32,buoy,100
localization,16-32,life_saving_appliances,8
localization,16-32,swimmer,290
localization,32-64,boat,18
localization,32-64,buoy,1
localization,32-64,jetski,4
localization,32-64,life_saving_appliances,13
localization,32-64,swimmer,923
localization,<16,swimmer,1
localization,>64,boat,26
localization,>64,buoy,3
localization,>64,jetski,14
localization,>64,swimmer,181
