size_band,category,count
16-32,boat,69
16-32,buoy,168
16-32,life_saving_appliances,179
16-32,swimmer,804
32-64,boat,62
32-64,buoy,8
32-64,jetski,12
32-64,life_saving_appliances,80
32-64,swimmer,478
<16,boat,1
<16,buoy,53
<16,life_saving_appliances,3
<16,swimmer,93
>64,boat,31
>64,buoy,4
>64,jetski,12
>64,swimmer,138
